Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
M 4,NGC 6121,,16:23:35.40,-26:31:31.9,28.2,,5.4,M,4,Globular Cluster,clusters,Scorpius,26.3,26.3,large_dso
M 5,,,15:18:33.75,+02:04:57.7,15.0,,5.95,M,5,Globular Cluster,clusters,,,,large_dso
M 6,NGC 6405,Butterfly Cluster,17:40:20.75,-32:15:15.0,15.6,,4.2,M,6,Open Cluster,clusters,Scorpius,25.0,25.0,large_dso
M 7,NGC 6475,Ptolemy's Cluster,17:53:51.18,-34:47:34.2,22.2,,3.3,M,7,Open Cluster,clusters,Scorpius,80.0,80.0,large_dso
M 8,NGC 6523,Lagoon Nebula,18:03:41.27,-24:22:48.6,45.0,30.0,5.8,M,8,Nebula,nebulae,Sagittarius,90.0,40.0,large_dso
M 11,,"Amas de l'Ecu de Sobieski,Wild Duck Cluster",18:51:05.99,-06:16:12.1,9.0,,5.8,M,11,Open Cluster,clusters,Scutum,,,small_dso
M 13,NGC 6205,"Great Hercules Globular, Hercules Globular Cluster",16:41:41.63,+36:27:40.7,16.5,,5.8,M,13,Globular Cluster,clusters,Hercules,16.6,16.6,large_dso
M 16,NGC 6611,"Eagle Nebula, Eagle nebula",18:18:48.17,-13:48:26.0,120.0,25.0,6.0,M,16,Nebula,nebulae,,35.0,35.0,large_dso
M 17,NGC 6618,"Checkmark Nebula,Lobster Nebula,Swan Nebula,omega Nebula, M  17",18:20:47.11,-16:10:17.5,12.6,,7.0,M,17,Nebula,nebulae,Sagittarius,46.0,46.0,large_dso
M 20,NGC 6514,Trifid Nebula,18:02:42.11,-22:58:18.8,28.0,28.0,8.5,M,20,Nebula,nebulae,Sagittarius,28.0,28.0,large_dso
M 22,NGC 6656,Sagittarius Cluster,18:36:24.20,-23:54:12.3,12.6,,6.17,M,22,Globular Cluster,clusters,Sagittarius,24.0,24.0,large_dso
M 23,NGC 6494,,17:57:04.77,-18:59:07.2,16.8,,5.5,M,23,Open Cluster,clusters,Sagittarius,27.0,27.0,large_dso
M 24,IC 4715,"Sagittarius Star Cloud, Small Sgr Star Cloud",18:16:56.12,-18:30:52.4,120.0,60.0,4.5,M,24,Association of stars,stars,Sagittarius,90.0,90.0,large_dso
M 25,"IC 4725, IC C4725",,18:31:46.77,-19:06:53.8,14.1,,4.6,M,25,Open Cluster,clusters,Sagittarius,40.0,40.0,large_dso
M 27,,Dumbbell Nebula,19:59:36.38,+22:43:15.7,6.7,,7.4,M,27,Planetary Nebula,nebulae,Vulpecula,,,small_dso
M 31,NGC 224,Andromeda Galaxy,00:42:44.35,+41:16:08.6,177.83,69.66,3.44,M,31,Galaxy,galaxies,Andromeda,178.0,63.0,large_dso
M 33,NGC 598,"Triangulum Galaxy, Triangulum Galaxy,Triangulum Pinwheel",01:33:50.89,+30:39:36.8,62.09,36.73,5.79,M,33,Galaxy,galaxies,Triangulum,73.0,45.0,large_dso
M 34,NGC 1039,,02:42:07.40,+42:44:46.1,22.5,,5.2,M,34,Open Cluster,clusters,Perseus,35.0,35.0,large_dso
